index	tag	guid	description
1	0	3420	My heart goes out to this oppressed, marginalized and appropriated group of people in our country ?
2	2	5008	RT @marvelousmaIik: he looks so good in red I'M OVERJOYED http://t.co/NFSeoyndeR
3	2	4323	We'd be delighted to welcome you to our award-winning restaurant this evening. #BeOurGuest http://t.co/ce4584iZMD
4	1	39	RT @MattBoutDatLife: Kanye brought out Fetty Wap. Don't question his judgement ever again
5	2	1438	RT @billmorrisphoto: Nice to get a good surf day in, before it all turns nasty tomorrow. #weliketosurf #empty #centralcoast #wave #IG http:…
6	0	4325	http://t.co/HQbgJrxpAJ
7	2	1209	RT @Jemsky_x: Do you have compassion? #compassion #Compassionate #animalsarecool #animalsaregreat #AnimalLiberation #animal #vegan
8	2	1030	Fucking love this guy! Getting married in 6 months #excited #cantwait #whoop #engaged #bestfeelingever #lovehim
9	2	3939	RT @Freedom_Daily: Charleston Confederate Monument Vandalized Again — This Time With Obama Quote #tcot
10	1	2796	Avon Grape Bud Vase Skin So Soft Empty Bottle 1973 Original Box #Bonanza #Avon
11	2	497	Have you seen the Award Winning Dreamgirl Collection (up to Plus size 24) Retweet 2 friends
12	2	2891	RT @eventsmeter: Its Praise! Worship! Thanksgiving! Fearful Praise! Lifted hands! Bended knees! Grateful heart! Today! And it's free!! http…
13	1	753	#new @iamtheidagirl #milkshake #boyfriend #distressed #jeans @velvettees @#tshirt @muubaa #leatherjacket @cocaranti
14	2	1960	' It's about caring someone '
15	1	340	RT @_RickyLance: NEW MUSIC: Check out my new song Infatuated w/ @OfficialJeuice streaming on @DailyLoud - https://t.co/oX6nZTNWnO
16	2	2045	RT @purple_impress: Did you know our #scarves r #zero waste #handembroidered & #natural fabric #Eco #sustainable #ethical #ValentinesDay ht…
17	1	2868	RT @TomthunkitsMind: Sen McColombia's Cartel Was Exposed When a Cargo Ship Owned By His Wife Had 90 Lbs of Cocaine h…
18	1	2992	Aeromaster decals 1/48 48-784 Wolf Pack 56 FG Pt7 Fast and Furious but Late N124
19	2	2101	Deserted Alley by alexanderpolomodov - #Architecture #Moscow #Night #NightPhotography
20	2	2322	Lady: well it's ramadan, so something with an attached prayer mat would be fine ht…
21	2	4942	RT @mtvasia: #MTVFestivalSeason: What would @jasonderulo?, @MartinGarrix? & more do on a deserted island? http://t.co/GZx5c5XARo http://t.c…
22	0	201	RT @AvoKegeyan: My worst and only fear.
23	0	75	#django doing a fox impression. #cat #black #longhair IG > imaakim
24	2	40	RT @EuropiannChick: My sisters the real MVP ?? #ValentinesDay
25	2	822	Just waiting for the sis then off we go! Gym time ?? #excited #happy #workout #FeelGood
26	2	4508	RT @UCI_BMX_SX: Few photos from Day 1 at the UCI BMX Worlds! The crowd was already amazing and ecstatic! #bmxzolder #zolder2015 http://t.co…
27	0	5003	Top Story: FCC Comm'r outraged at what CBS4 investigation revealed about free phone program -- http://t.co/XIxM1PB67m http://t.co/K7Xo5oeRce
28	2	368	RT @s04_en: FULL TIME: #Schalke are beaten 1-0 in Frankfurt. #SGES04
29	2	1353	RT @O_M_N_93: Simple & Unique bracelets handmade #fashion #girl #lady #animal #wild #craft #gift #ebay#world
30	2	4821	#Usedcars #Forsale Ford : Mustang GT PREMIUM GT PREMIUM NAVIGATION LEATHER HEATED/COOLED SEATS… #Cars #CarDealers http://t.co/2hE9Ute3qK
31	2	4015	#FatherAndSonTime http://t.co/0a2qjwQvA4
32	1	2924	@rocorifootball Red Team finished 2nd today at the Lineman Challenge @rocoridistrict #poundtherock
33	2	1015	"@ThatKidRalph: I was going to be a child and violate butttt I'm grown #shook
34	2	3489	Country Brook Design?? Puzzled Designer Handmade Dog Collar-L
35	1	1871	-Blackberry Classic - Black - Brand New, 16GB, 3G, 8MP Camera#Deals_UK
36	1	3330	Beauty Shop #0749 2 SILVERLON ACUTE SILVER BURN GLOVE DRESSING WOUND CARE SIZE MEDIUM 14228 NEW 2 SILVERLON ACUTE S…
37	1	1846	RT @AshGhebranious: Australia beaten by Rwanda for 1st Utility Scale #Solar Project in Sthern Hemisphere https://t.…
38	2	3680	Most WTF Pics You’re Going to See All Day
39	2	1696	RT @Treasuremakeup: Lead a colourful life #colour #INtense #pigment #powder #eyeshadow #makeup #mehronmakeup #mehronuk
40	2	969	It's Adventure Time at McDonald's! #happyhappyhappymeal #overjoyed :D
41	0	2670	RT @NovorossiyaNewz: The enemy must be destroyed. "There has been too much blood" - Zakharchenko. Donbass will NEVER be part of Ukraine. ht…
42	0	4204	RT @ChristianPost: 1,500 YO Burned Parchment Deciphered as Book of Leviticus,Contains God's Instructions to Moses http://t.co/ofirhbKAax ht…
43	2	1836	RT @lolo_paez: Con Javi Cuevas y Antonio de la comparsa Los que barren @PaCasitaSevilla Ole! @TDSevilla #TDSCarnaval @FGHaldon
44	0	1822	India's Modi "appalled" at temple built to worship him.
